"Menu","Ingredient","Qty","Unit"
"ES ALPUKAT KOCOK ORIGINAL","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK ORIGINAL","SKM","20","ml"
"ES ALPUKAT KOCOK ORIGINAL","AIR GULA KENTAL","20","ML"
"ES ALPUKAT KOCOK ORIGINAL","SUSU UHT","50","ML"
"ES ALPUKAT KOCOK ORIGINAL","ES BATU","150","GR"
"ES ALPUKAT KOCOK ORIGINAL","GELAS","1","GELAS"
"ES ALPUKAT KOCOK ORIGINAL","PIPET","1","PCS"
"ES ALPUKAT KOCOK ORIGINAL","SENDOK","1","PCS"
"ES ALPUKAT KOCOK ORIGINAL","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK BROWN SUGAR","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK BROWN SUGAR","SKM","20","ml"
"ES ALPUKAT KOCOK BROWN SUGAR","BROWN SUGAR","80","ml"
"ES ALPUKAT KOCOK BROWN SUGAR","SANTAN","20","gr"
"ES ALPUKAT KOCOK BROWN SUGAR","UHT","50","gr"
"ES ALPUKAT KOCOK BROWN SUGAR","ES BATU","150","gr"
"ES ALPUKAT KOCOK BROWN SUGAR","GELAS","1","GELAS"
"ES ALPUKAT KOCOK BROWN SUGAR","PIPET","1","PCS"
"ES ALPUKAT KOCOK BROWN SUGAR","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK MILO","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK MILO","SKM","20","ML"
"ES ALPUKAT KOCOK MILO","MILO DI ATASANNYA","15","GR"
"ES ALPUKAT KOCOK MILO","GULA MERAH","50","GR"
"ES ALPUKAT KOCOK MILO","ES BATU","150","GR"
"ES ALPUKAT KOCOK MILO","SUSU UHT","50","ML"
"ES ALPUKAT KOCOK MILO","GELAS","1","GELAS"
"ES ALPUKAT KOCOK MILO","PIPET","1","PCS"
"ES ALPUKAT KOCOK MILO","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK COKLAT","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK COKLAT","GULA KENTAL","20","ml"
"ES ALPUKAT KOCOK COKLAT","SUSU UHT","70","ml"
"ES ALPUKAT KOCOK COKLAT","ES BATU","150","gr"
"ES ALPUKAT KOCOK COKLAT","COKLAT ATASANNYA","50","gr"
"ES ALPUKAT KOCOK COKLAT","GELAS","1","GELAS"
"ES ALPUKAT KOCOK COKLAT","PIPET","1","PCS"
"ES ALPUKAT KOCOK COKLAT","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK KEJU","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK KEJU","SKM","20","ml"
"ES ALPUKAT KOCOK KEJU","GULA KENTAL","20","ml"
"ES ALPUKAT KOCOK KEJU","SUSU UHT","50","ml"
"ES ALPUKAT KOCOK KEJU","KEJU DIATASANNYA","30","gr"
"ES ALPUKAT KOCOK KEJU","ES BATU","150","gr"
"ES ALPUKAT KOCOK KEJU","GELAS","1","GELAS"
"ES ALPUKAT KOCOK KEJU","PIPET","1","PCS"
"ES ALPUKAT KOCOK KEJU","PLASTIK","1","PCS"
"JUS ALPUKAT","ALPUKAT POTONG","90","gr"
"JUS ALPUKAT","SKM","20","ml"
"JUS ALPUKAT","GULA CAIR","50","ml"
"JUS ALPUKAT","AIR","50","ml"
"JUS ALPUKAT","SUSU COKLAT PINGGIRAN","6","gr"
"JUS ALPUKAT","ES BATU","250","gr"
"JUS ALPUKAT","GELAS","1","GELAS"
"JUS ALPUKAT","PIPET","1","PCS"
"JUS ALPUKAT","PLASTIK","1","PCS"
"ES ALPUKAT NANGKA","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT NANGKA","SKM","20","ML"
"ES ALPUKAT NANGKA","GULA KENTAL","20","ML"
"ES ALPUKAT NANGKA","SUSU UHT","50","ML"
"ES ALPUKAT NANGKA","NANGKA","30","gr"
"ES ALPUKAT NANGKA","ES BATU","150","GR"
"ES ALPUKAT NANGKA","GELAS","1","GELAS"
"ES ALPUKAT NANGKA","PIPET","1","PCS"
"ES ALPUKAT NANGKA","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK OREO","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK OREO","SKM","20","ML"
"ES ALPUKAT KOCOK OREO","GULA KENTAL","20","ML"
"ES ALPUKAT KOCOK OREO","SUSU UHT","50","ML"
"ES ALPUKAT KOCOK OREO","OREO","25","gr"
"ES ALPUKAT KOCOK OREO","ES BATU","150","GR"
"ES ALPUKAT KOCOK OREO","GELAS","1","GELAS"
"ES ALPUKAT KOCOK OREO","PIPET","1","PCS"
"ES ALPUKAT KOCOK OREO","PLASTIK","1","PCS"
"ES ALPUKAT KOCOK DANCOW","ALPUKAT KOCOK","70","gr"
"ES ALPUKAT KOCOK DANCOW","SKM","20","ml"
"ES ALPUKAT KOCOK DANCOW","GULA KENTAL","20","ml"
"ES ALPUKAT KOCOK DANCOW","SUSU UHT","50","ml"
