Methode Pembayaran,Nominal,Cabang,Month
Tunai,"Rp9.086.000,00",Cab. Tupai,May
Gofood,"Rp10.413.200,00",Cab. Tupai,May
Grab,"Rp10.237.880,00",Cab. Tupai,May
Shopee Food,"Rp0,00",Cab. Tupai,May
TF BNI,"Rp0,00",Cab. Tupai,May
TF BCA,"Rp459.000,00",Cab. Tupai,May
QRIS BUKUPAY,"Rp5.500.000,00",Cab. Tupai,May
Tunai,"Rp8.621.008,00",Cab. Sunu,May
Gofood,"Rp584.800,00",Cab. Sunu,May
Grab,"Rp4.753.408,00",Cab. Sunu,May
Shopee Food,"Rp0,00",Cab. Sunu,May
TF BNI,"Rp0,00",Cab. Sunu,May
TF BCA,"Rp0,00",Cab. Sunu,May
QRIS BUKUPAY,"Rp4.026.000,00",Cab. Sunu,May
Tunai,"Rp14.970.000,00",Cab. Gowa,May
Gofood,"Rp3.661.600,00",Cab. Gowa,May
Grab,"Rp15.553.600,00",Cab. Gowa,May
Shopee Food,"Rp0,00",Cab. Gowa,May
TF BNI,"Rp0,00",Cab. Gowa,May
TF BCA,"Rp0,00",Cab. Gowa,May
QRIS BUKUPAY,"Rp5.521.000,00",Cab. Gowa,May
Tunai,"Rp44.625.000,00",Cab. Landak,May
Gofood,"Rp972.050,00",Cab. Landak,May
Grab,15.085.000,Cab. Landak,May
Shopee Food,"Rp0,00",Cab. Landak,May
TF BNI,"Rp0,00",Cab. Landak,May
TF BCA,"Rp11.436.000,00",Cab. Landak,May
QRIS BUKUPAY,"Rp0,00",Cab. Landak,May
