Pengeluaran,Nominal,Cabang,Month
ESBATU,"Rp495.000,00",Cab. Tupai,May
UANG MAKAN,"Rp495.000,00",Cab. Tupai,May
UANG LEMBUR,"Rp750.000,00",Cab. Tupai,May
SUNGLIHT,"Rp52.500,00",Cab. Tupai,May
GAS,"Rp57.000,00",Cab. Tupai,May
FOTO COPY,"Rp19.000,00",Cab. Tupai,May
MINYAK GORENG,"Rp44.500,00",Cab. Tupai,May
PISANG,"Rp40.000,00",Cab. Tupai,May
MODEM,"Rp25.000,00",Cab. Tupai,May
TOMAT,"Rp10.000,00",Cab. Tupai,May
LOMBOK,"Rp5.000,00",Cab. Tupai,May
KAK IDAM,"Rp44.000,00",Cab. Tupai,May
MAIZENA,"Rp15.000,00",Cab. Tupai,May
PULPEN,"Rp3.000,00",Cab. Tupai,May
SKM,"Rp35.400,00",Cab. Tupai,May
SPONS,"Rp2.000,00",Cab. Tupai,May
ESBATU,"Rp308.000,00",Cab. Sunu,May
UANG MAKAN,"Rp765.000,00",Cab. Sunu,May
UANG LEMBUR,"Rp100.000,00",Cab. Sunu,May
SUNGLIHT,"Rp10.500,00",Cab. Sunu,May
GAS,"Rp20.000,00",Cab. Sunu,May
FOTO COPY,"Rp30.000,00",Cab. Sunu,May
MINYAK GORENG,"Rp0,00",Cab. Sunu,May
PISANG,"Rp0,00",Cab. Sunu,May
MODEM,"Rp103.000,00",Cab. Sunu,May
TOMAT,"Rp0,00",Cab. Sunu,May
LOMBOK,"Rp0,00",Cab. Sunu,May
KAK IDAM,"Rp0,00",Cab. Sunu,May
MAIZENA,"Rp5.700,00",Cab. Sunu,May
PULPEN,"Rp0,00",Cab. Sunu,May
SKM,"Rp143.000,00",Cab. Sunu,May
spons,"Rp0,00",Cab. Sunu,May
Maxim,"Rp375.000,00",Cab. Sunu,May
Milo,"Rp66.000,00",Cab. Sunu,May
uht,"Rp193.500,00",Cab. Sunu,May
Agar2 Hijau,"Rp29.100,00",Cab. Sunu,May
Air galon,"Rp42.000,00",Cab. Sunu,May
uang Risma,"Rp6.000,00",Cab. Sunu,May
Santan kara,"Rp30.000,00",Cab. Sunu,May
ESBATU,"Rp398.000,00",Cab. Gowa,May
UANG MAKAN,"Rp1.245.000,00",Cab. Gowa,May
UANG LEMBUR,"Rp0,00",Cab. Gowa,May
SUNGLIHT,"Rp77.000,00",Cab. Gowa,May
GAS,"Rp45.000,00",Cab. Gowa,May
FOTO COPY,"Rp15.000,00",Cab. Gowa,May
MINYAK GORENG,"Rp16.000,00",Cab. Gowa,May
PISANG,"Rp0,00",Cab. Gowa,May
MODEM,"Rp0,00",Cab. Gowa,May
TOMAT,"Rp0,00",Cab. Gowa,May
LOMBOK,"Rp0,00",Cab. Gowa,May
KAK IDAM,"Rp0,00",Cab. Gowa,May
MAIZENA,"Rp48.000,00",Cab. Gowa,May
PULPEN,"Rp0,00",Cab. Gowa,May
SKM,"Rp285.000,00",Cab. Gowa,May
SPONS,"Rp6.000,00",Cab. Gowa,May
SKM COKLAT,"Rp13.000,00",Cab. Gowa,May
GALON,"Rp120.000,00",Cab. Gowa,May
MAXIM BAHAN,"Rp558.000,00",Cab. Gowa,May
MILO,"Rp50.000,00",Cab. Gowa,May
SELADA,"Rp10.000,00",Cab. Gowa,May
SAMPAH,"Rp25.000,00",Cab. Gowa,May
PEPAYA,"Rp32.000,00",Cab. Gowa,May
PASTA PANDAN,"Rp38.000,00",Cab. Gowa,May
GULA PASIR,"Rp40.000,00",Cab. Gowa,May
LAMPU,"Rp25.000,00",Cab. Gowa,May
SANTAN,"Rp6.000,00",Cab. Gowa,May
UHT,"Rp92.000,00",Cab. Gowa,May
SABUN EKONOMIS,"Rp5.000,00",Cab. Gowa,May
UANG AIR,"Rp150.000,00",Cab. Gowa,May
ROLL PRESS,"Rp95.000,00",Cab. Gowa,May
SENDOK,"Rp20.000,00",Cab. Gowa,May
SUNGLITH,"Rp16.000,00",Cab. Gowa,May
gojek kk vion,"Rp50.000,00",Cab. Gowa,May
lebih uang kemarin,"Rp8.000,00",Cab. Gowa,May
ESBATU,"Rp1.198.000,00",Cab. Landak,May
UANG MAKAN,"Rp1.695.000,00",Cab. Landak,May
UANG LEMBUR,"Rp700.000,00",Cab. Landak,May
SUNGLIHT,"Rp200.000,00",Cab. Landak,May
CUP SEALER,"Rp86.000,00",Cab. Landak,May
LEM,"Rp7.000,00",Cab. Landak,May
CAS TIPE C,"Rp37.000,00",Cab. Landak,May
GAS,"Rp55.500,00",Cab. Landak,May
FOTO COPY,"Rp18.000,00",Cab. Landak,May
CUP CREAMY,"Rp53.000,00",Cab. Landak,May
PAJAK,"Rp130.000,00",Cab. Landak,May
KERTAS STRUK,"Rp86.000,00",Cab. Landak,May
ANAK EVENT,"Rp1.552.000,00",Cab. Landak,May
PAKU,"Rp5.000,00",Cab. Landak,May
PLASTER,"Rp1.000,00",Cab. Landak,May
BUKU,"Rp4.000,00",Cab. Landak,May
SIRUP DHT,"Rp91.000,00",Cab. Landak,May
JELLY,"Rp90.000,00",Cab. Landak,May
CUP MANGGA,"Rp28.000,00",Cab. Landak,May
ONGKIR MAXIM,"Rp298.000,00",Cab. Landak,May
MINYAK KAYU PUTIH,"Rp14.000,00",Cab. Landak,May
GAS,"Rp36.500,00",Cab. Landak,May
"MELON, SEMANGKA","Rp185.000,00",Cab. Landak,May
CENDOL,"Rp320.000,00",Cab. Landak,May
PEPAYA,"Rp95.000,00",Cab. Landak,May
PARKIR,"Rp25.000,00",Cab. Landak,May
GULA PASIR,"Rp64.000,00",Cab. Landak,May
KAK VION,"Rp862.000,00",Cab. Landak,May
KAK IDAM,"Rp1.180.000,00",Cab. Landak,May
AIR GALON,"Rp85.000,00",Cab. Landak,May
MAIZENA,"Rp20.000,00",Cab. Landak,May
EVAPORASI,"Rp32.500,00",Cab. Landak,May
SKM,"Rp284.000,00",Cab. Landak,May
SELASI,"Rp5.000,00",Cab. Landak,May
